id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
920,Promptless,"San Francisco, CA",United States,https://promptless.ai,,engineering hiring,"An AI teammate that automatically updates your customer-facing docs Tags: Artificial Intelligence, Developer Tools, Generative AI, SaaS, B2B",~5,LinkedIn,Founding Engineer / Software Engineer
921,Prototyping.io,"San Francisco, CA",United States,https://www.prototyping.io,,engineering hiring,Autonomous manufacturing for mechanical parts,~2,LinkedIn,Founding Engineer / Software Engineer
922,Prox,"San Francisco, CA",United States,https://useprox.com,,engineering hiring,"AI technical support for complex physical products Tags: Artificial Intelligence, Customer Success, E-commerce, Customer Support",1-10,LinkedIn,Founding Engineer / Software Engineer
923,Proximitty,"San Francisco, CA",United States,https://proximitty.ai,,engineering hiring,AI operating system for commercial loans,~2,LinkedIn,Founding Engineer / Software Engineer
924,QualGent,"San Francisco, CA",United States,https://www.qualgent.ai,,engineering hiring,"AI Mobile App Quality Assurance Tester Tags: Artificial Intelligence, B2B, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
925,Quatro Consulting,"Austin, TX",United States,,,hiring,Austin consulting firm posting iOS developer roles.,1-20,Indeed,iOS Developer
926,Ralo,"New York City, NY",United States,https://www.ralo.com,,engineering hiring,"AI-Native Mortgage Broker Tags: Fintech, Consumer Finance, AI",~2,LinkedIn,Founding Engineer / Software Engineer
927,RamAIn,"San Francisco, CA",United States,https://ramain.ai,,engineering hiring,"Automate any UI task with natural language Tags: Artificial Intelligence, Robotic Process Automation, Automation",~4,LinkedIn,Founding Engineer / Software Engineer
928,Raycaster,"New York City, NY",United States,https://raycaster.ai,,engineering hiring,"AI for life sciences documents Tags: Artificial Intelligence, SaaS, Biotech, Enterprise Software",~3,LinkedIn,Founding Engineer / Software Engineer
929,Reacher,"San Francisco, CA",United States,https://reacherapp.com,,engineering hiring,"We automate creator marketing for the world's largest brands Tags: Artificial Intelligence, B2B, E-commerce, Creator Economy",1-10,LinkedIn,Founding Engineer / Software Engineer
930,Rebolt,"San Francisco, CA",United States,https://rebolt.ai,,engineering hiring,"AI-Powered Company OS Tags: Enterprise Software, AI, AI Assistant",~3,LinkedIn,Founding Engineer / Software Engineer
931,Rebulk,"Olathe, KS",United States,https://www.rebulk.com,,engineering hiring,"Accurately measure and monitor bulk inventory Tags: Computer Vision, Supply Chain, Agriculture, AI, Industrial",~3,LinkedIn,Founding Engineer / Software Engineer
932,Rec Technologies,"San Francisco, CA",United States,https://partner.rec.us/,,engineering / founders,Fintech software company hiring engineers for financial products.,11-50,LinkedIn,Senior Software Engineer (Payments and Finance)
933,Reditus Space,"Atlanta, GA",United States,https://www.reditus.space,,engineering hiring,"Reusable Satellites Tags: Hard Tech, Manufacturing, Aerospace",11-50,LinkedIn,Founding Engineer / Software Engineer
934,Relling,"San Francisco, CA",United States,https://relling.co,,engineering hiring,"deploying the first billion robots for manufacturing Tags: Artificial Intelligence, Robotics",1-20,LinkedIn,Founding Engineer / Software Engineer
935,Replicas,"San Francisco, CA",United States,https://tryreplicas.com,,engineering hiring,Run any coding agent harness in the cloud,~2,LinkedIn,Founding Engineer / Software Engineer
936,Replo,"San Francisco, CA",United States,https://www.replo.app,,hiring,YC S21 ecommerce marketing campaign platform (11-50).,11-50,LinkedIn,Software Engineer - Full-Stack
937,Reveal,"Chicago, IL",United States,https://www.revealdata.com,,hiring,Chicago software company hiring senior React engineers (Indeed Chicago).,51-100,Indeed,"Senior Software Engineer, React"
938,Revion,"New York, NY",United States,https://revion.inc,,engineering hiring,"Intelligence for Automotive Operations Tags: Artificial Intelligence, Automotive",1-10,LinkedIn,Founding Engineer / Software Engineer
939,Revise Robotics,"New York City, NY",United States,https://www.reviserobotics.com,,engineering hiring,"Automating refurbishment of $1T in consumer electronics Tags: Robotic Process Automation, ClimateTech, Electronics",~3,LinkedIn,Founding Engineer / Software Engineer
940,Revyl,"San Francisco, CA",United States,https://www.revyl.com,,engineering hiring,"The mobile source of truth Tags: Artificial Intelligence, Developer Tools, B2B, Infrastructure",1-10,LinkedIn,Founding Engineer / Software Engineer
941,Rhizome AI,"New York City, NY",United States,https://rhizomeai.com,,engineering hiring,Agent Platform for Life Sciences,~1,LinkedIn,Founding Engineer / Software Engineer
942,Rise Reforming,"Chicago, IL",United States,https://rise-reforming.com/home,,engineering hiring,"We turn waste gases into valuable supply-secure chemicals Tags: Hard Tech, Smart Waste Management, Alternative Fuels, Renewable Energy, ClimateTech",~4,LinkedIn,Founding Engineer / Software Engineer
943,River Markets,"San Francisco, CA",United States,https://www.rivermarkets.com,,engineering hiring,Prime brokerage for prediction markets,~2,LinkedIn,Founding Engineer / Software Engineer
944,Robby,"Boston, MA",United States,https://tryrobby.com,,engineering hiring,AI agents that grow revenue for home services businesses,~3,LinkedIn,Founding Engineer / Software Engineer
945,Routine,"San Francisco, CA",United States,,,hiring,Consumer app company (11-50) hiring React Native mobile engineer for iOS/Android rewrite.,11-50,LinkedIn,React Native Mobile Engineer
946,Rovi Health,"New York, NY",United States,https://www.rovi.health,,engineering hiring,"AI healthcare concierge for employees Tags: Consumer Health Services, Health Tech, Digital Health, Healthcare, Health Insurance",~3,LinkedIn,Founding Engineer / Software Engineer
947,Rudus,"San Francisco, CA",United States,https://rudus.ai,,engineering hiring,AI Takeoffs for Concrete,~2,LinkedIn,Founding Engineer / Software Engineer
948,RunAnywhere,"San Francisco, CA",United States,https://www.runanywhere.ai,,engineering hiring,The default way of running on-device AI at Scale,~2,LinkedIn,Founding Engineer / Software Engineer
949,Runtime,"San Francisco, CA",United States,https://www.runtm.com,,engineering hiring,"Build and run internal agents, without managing the infrastructure",~3,LinkedIn,Founding Engineer / Software Engineer
950,Ryvn,"New York City, NY",United States,https://ryvn.ai,,engineering hiring,"Easy and secure customer cloud deployments Tags: Developer Tools, SaaS, DevOps, Infrastructure",~5,LinkedIn,Founding Engineer / Software Engineer
951,SalesPatriot,"San Francisco, CA",United States,https://www.salespatriot.com,,engineering hiring,"AI powered operating system for distributors and OEMs Tags: SaaS, B2B, Sales, AI, Industrial",11-50,LinkedIn,Founding Engineer / Software Engineer
952,Salus,"San Francisco, CA",United States,https://www.usesalus.ai,,engineering hiring,"Guardrails to validate your agent's actions before they execute Tags: Developer Tools, B2B, API, Infrastructure, AI",~2,LinkedIn,Founding Engineer / Software Engineer
953,Sava,"New York City, NY",United States,https://www.savahq.com,,engineering hiring,Building the future of trusts,~3,LinkedIn,Founding Engineer / Software Engineer
954,Scotch,"Nashville, TN",United States,https://www.scotchpos.com,,engineering / agency lead,"From neighborhood stores to destination warehouses, liquor retailer...",11-50,LinkedIn,Point of Sale (POS) Installation Technician
955,Scott AI,"New York City, NY",United States,https://tryscott.ai,,engineering hiring,The planning layer for teams that build with coding agents,~3,LinkedIn,Founding Engineer / Software Engineer
956,Scout,"New York, NY",United States,https://scoutforschools.com,,engineering hiring,"AI-powered student information system for K-12 schools Tags: Artificial Intelligence, Education, Workflow Automation",1-10,LinkedIn,Founding Engineer / Software Engineer
957,screenpipe,"San Francisco, CA",United States,https://screenpipe.com,,engineering hiring,"Capture how you work and turn that into agents Tags: Artificial Intelligence, SaaS, B2B, Enterprise, Enterprise Software",1-10,LinkedIn,Founding Engineer / Software Engineer
958,Scritch,"San Francisco, CA",United States,https://www.scritchai.com,,engineering hiring,"AI operating system for veterinary care Tags: Artificial Intelligence, Consumer Health Services, Health Tech, B2B, Healthcare",5-40,LinkedIn,Founding Engineer
959,Semble AI,"San Francisco, CA",United States,https://www.sembleai.com,,engineering hiring,"AI Agents for contractors, manufacturers, and logistics Tags: SaaS, AI",~2,LinkedIn,Founding Engineer / Software Engineer
960,Sensera Systems,"Golden, CO",United States,https://senserasystems.com,,hiring,Construction tech / jobsite camera software company hiring senior developers.,11-50,Indeed,Senior Software Developer
961,Shor,"San Francisco, CA",United States,https://www.shorpay.com,,engineering hiring,"International payroll, built for founders",~4,LinkedIn,Founding Engineer / Software Engineer
962,Sim,"San Francisco, CA",United States,https://sim.ai,,engineering hiring,Open source platform to build AI agent workflows Tags: AI,1-10,LinkedIn,Founding Engineer / Software Engineer
963,SingleMind,"Portland, OR",United States,https://www.singlemindconsulting.com,,hiring,Pacific Northwest digital product design and development agency.,11-50,LinkedIn,Front-End React Developer
964,Sitefire,"San Francisco, CA",United States,https://sitefire.ai,,engineering hiring,"Marketing suite for the agentic web Tags: Artificial Intelligence, Analytics, Marketing",~2,LinkedIn,Founding Engineer / Software Engineer
965,Sixtyfour,"San Francisco, CA",United States,https://www.sixtyfour.ai,,engineering hiring,"Intelligence Infrastructure on People and Entities Tags: B2B, Enterprise Software, Infrastructure, AI",11-50,LinkedIn,Founding Engineer / Software Engineer
966,Sky Limit Systems,"Minneapolis, MN",United States,https://www.skylimit-systems.com,,engineering / founders,"At Sky Limit Systems, we pride ourselves on...",2-10,LinkedIn,Senior Backend Engineer
967,Slashy,"San Francisco, CA",United States,https://www.slashy.com,,engineering hiring,Cursor for Email,~3,LinkedIn,Founding Engineer / Software Engineer
968,Socratix AI,"San Francisco, CA",United States,https://getsocratix.ai,,engineering hiring,AI coworkers for fraud and risk teams.,~4,LinkedIn,Founding Engineer / Software Engineer
969,Solidroad,"San Francisco, CA",United States,https://solidroad.com,,engineering hiring,"AI agents for CX teams, starting with training and QA.",1-10,LinkedIn,Founding Engineer / Software Engineer
970,Solva,"New York City, NY",United States,https://solvatechnology.com,,engineering hiring,Automates insurance claims and stops incorrect payouts,11-50,LinkedIn,Founding Engineer / Software Engineer
971,Soren,"San Francisco, CA",United States,https://usesoren.com,,engineering hiring,"AI Transformation for Regulated Institutions Tags: B2B, Enterprise, Enterprise Software, AI",1-20,LinkedIn,Founding Engineer / Software Engineer
972,Sourcebot,"San Francisco, CA",United States,https://www.sourcebot.dev,,engineering hiring,"Helping humans and AI agents understand massive codebases Tags: Artificial Intelligence, Developer Tools, Open Source",~3,LinkedIn,Founding Engineer
973,Southern Hobby Distribution,United States (Remote),United States,https://southernhobby.com,,hiring,Distributor hiring senior Shopify developers for ecommerce stack.,51-100,Indeed,Sr Shopify Developer
974,SparkHouse LLC,"Denver, CO",United States,https://www.SparkHousePeople.com,,agency leadership / hiring,SparkHouse serves as a Human Capital/Talent Partner to companies that have a need for a skilled and experienced Senior HR...,2-10,LinkedIn,Senior Software Engineer
975,Sparkles,"San Francisco, CA",United States,https://sparkles.dev,,engineering hiring,Make everyone on your team an engineer,~1,LinkedIn,Founding Engineer / Software Engineer
976,Sprinter Health,"San Francisco, CA",United States,https://www.sprinterhealth.com,,hiring,Healthcare startup with agentic AI incubator teams hiring software engineers.,51-100,Indeed,Agentic AI Team - Software Engineer (Mid-level)
977,Standout,"San Francisco, CA",United States,https://standout.work,,engineering hiring,Agentic hiring marketplace,~3,LinkedIn,Founding Engineer / Software Engineer
978,Steadily Insurance Agency,"Austin, TX",United States,https://www.steadily.com,,hiring,Landlord insurance tech startup posting product/design roles alongside engineering hiring in Austin.,51-100,Indeed,Staff Product Designer
979,Steady Vision,"Boston, MA, United States",United States,https://steadyvision.com,,agency lead,Boston digital agency hiring web developers.,2-10,LinkedIn,Web Developer
980,Steinmetz,"San Francisco, CA",United States,https://steinmetzmotors.com,,engineering hiring,"Next-Generation Power Electronics Tags: Hardware, Electric Vehicles, Electronics",~5,LinkedIn,Founding Engineer / Software Engineer
